tot_ball,inning,batting_team,bowling_team,over_num,ball_num,stage,bowler,bowler_num,batsman,batsman_num,howout,wide_runs,noball,noball_bat_runs,LegByes_runs,Byes_runs,Bat_runs,Balls_faced,boundary,scoring_id,wickets,Overs,run,runs,ball_counts,runrate_ball,HOWOUTS,EXTRA
1,1,ACCENTURE ,ROYAL ENFIELD,1,1,1,Senthil Nathan,1,Suresh ,1,0,0,0,0,0,0,1,1,0,2,0,1.1,1,1,1,0.028985507,notout,1
2,1,ACCENTURE ,ROYAL ENFIELD,1,2,1,Senthil Nathan,1,Ajay Narayanan ,2,0,0,0,0,0,0,0,1,0,1,0,1.2,0,1,2,0.028985507,notout,1
3,1,ACCENTURE ,ROYAL ENFIELD,1,3,1,Senthil Nathan,1,Ajay Narayanan ,2,0,0,0,0,0,0,4,2,4,4,0,1.3,4,5,3,0.144927536,notout,1
4,1,ACCENTURE ,ROYAL ENFIELD,1,4,1,Senthil Nathan,1,Ajay Narayanan ,2,0,2,0,0,0,0,0,3,0,1,0,1.4,2,7,4,0.202898551,notout,1
5,1,ACCENTURE ,ROYAL ENFIELD,1,4,1,Senthil Nathan,1,Suresh ,1,0,0,0,0,0,0,3,2,0,3,0,1.4,3,10,5,0.289855072,notout,1
6,1,ACCENTURE ,ROYAL ENFIELD,1,5,1,Senthil Nathan,1,Ajay Narayanan ,2,0,0,0,0,0,0,0,4,0,1,0,1.5,0,10,6,0.289855072,notout,1
7,1,ACCENTURE ,ROYAL ENFIELD,1,6,1,Senthil Nathan,1,Ajay Narayanan ,2,0,0,0,0,0,0,0,5,0,1,0,1.6,0,10,7,0.289855072,notout,1
8,1,ACCENTURE ,ROYAL ENFIELD,2,1,1,Kooda Lingam,2,Suresh ,1,0,0,0,0,0,0,1,3,0,2,0,2.1,1,11,8,0.31884058,notout,1
9,1,ACCENTURE ,ROYAL ENFIELD,2,2,1,Kooda Lingam,2,Ajay Narayanan ,2,0,0,0,0,0,0,1,6,0,2,0,2.2,1,12,9,0.347826087,notout,1
10,1,ACCENTURE ,ROYAL ENFIELD,2,3,1,Kooda Lingam,2,Suresh ,1,0,0,0,0,0,0,4,4,4,4,0,2.3,4,16,10,0.463768116,notout,1
11,1,ACCENTURE ,ROYAL ENFIELD,2,4,1,Kooda Lingam,2,Suresh ,1,0,0,0,0,0,0,0,5,0,1,0,2.4,0,16,11,0.463768116,notout,1
12,1,ACCENTURE ,ROYAL ENFIELD,2,5,1,Kooda Lingam,2,Suresh ,1,1,0,0,0,0,0,0,6,0,1,1,2.5,0,16,12,0.463768116,Catch,1
13,1,ACCENTURE ,ROYAL ENFIELD,2,6,1,Kooda Lingam,2,Ajay Narayanan ,2,0,0,0,0,0,0,0,7,0,1,1,2.6,0,16,13,0.463768116,notout,1
14,1,ACCENTURE ,ROYAL ENFIELD,3,1,1,Senthil Nathan,1,Ashok ,3,0,0,0,0,0,0,1,1,0,2,1,3.1,1,17,14,0.492753623,notout,1
15,1,ACCENTURE ,ROYAL ENFIELD,3,2,1,Senthil Nathan,1,Ajay Narayanan ,2,0,0,0,0,0,0,0,8,0,1,1,3.2,0,17,15,0.492753623,notout,1
16,1,ACCENTURE ,ROYAL ENFIELD,3,3,1,Senthil Nathan,1,Ajay Narayanan ,2,0,0,0,0,0,0,1,9,0,2,1,3.3,1,18,16,0.52173913,notout,1
17,1,ACCENTURE ,ROYAL ENFIELD,3,4,1,Senthil Nathan,1,Ashok ,3,0,0,0,0,0,0,4,2,4,4,1,3.4,4,22,17,0.637681159,notout,1
18,1,ACCENTURE ,ROYAL ENFIELD,3,5,1,Senthil Nathan,1,Ashok ,3,0,0,0,0,0,0,0,3,0,1,1,3.5,0,22,18,0.637681159,notout,1
19,1,ACCENTURE ,ROYAL ENFIELD,3,6,1,Senthil Nathan,1,Ashok ,3,0,0,0,0,0,0,0,4,0,1,1,3.6,0,22,19,0.637681159,notout,1
20,1,ACCENTURE ,ROYAL ENFIELD,4,1,1,Kooda Lingam,2,Ajay Narayanan ,2,0,1,0,0,0,0,0,10,0,1,1,4.1,1,23,20,0.666666667,notout,1
21,1,ACCENTURE ,ROYAL ENFIELD,4,1,1,Kooda Lingam,2,Ajay Narayanan ,2,0,0,0,0,0,0,0,11,0,1,1,4.1,0,23,21,0.666666667,notout,1
22,1,ACCENTURE ,ROYAL ENFIELD,4,2,1,Kooda Lingam,2,Ajay Narayanan ,2,0,0,0,0,0,0,1,12,0,2,1,4.2,1,24,22,0.695652174,notout,1
23,1,ACCENTURE ,ROYAL ENFIELD,4,3,1,Kooda Lingam,2,Ashok ,3,0,0,0,0,0,0,4,5,4,4,1,4.3,4,28,23,0.811594203,notout,1
24,1,ACCENTURE ,ROYAL ENFIELD,4,4,1,Kooda Lingam,2,Ashok ,3,0,0,0,0,0,0,1,6,0,2,1,4.4,1,29,24,0.84057971,notout,1
25,1,ACCENTURE ,ROYAL ENFIELD,4,5,1,Kooda Lingam,2,Ajay Narayanan ,2,0,0,0,0,0,0,0,13,0,1,1,4.5,0,29,25,0.84057971,notout,1
26,1,ACCENTURE ,ROYAL ENFIELD,4,6,1,Kooda Lingam,2,Ajay Narayanan ,2,0,0,0,0,0,0,0,14,0,1,1,4.6,0,29,26,0.84057971,notout,1
27,1,ACCENTURE ,ROYAL ENFIELD,5,1,1,Senthil Nathan,1,Ashok ,3,0,1,0,0,0,0,0,7,0,1,1,5.1,1,30,27,0.869565217,notout,1
28,1,ACCENTURE ,ROYAL ENFIELD,5,1,1,Senthil Nathan,1,Ashok ,3,0,0,0,0,0,0,4,8,4,4,1,5.1,4,34,28,0.985507246,notout,1
29,1,ACCENTURE ,ROYAL ENFIELD,5,2,1,Senthil Nathan,1,Ashok ,3,0,0,0,0,0,0,0,9,0,1,1,5.2,0,34,29,0.985507246,notout,1
30,1,ACCENTURE ,ROYAL ENFIELD,5,3,1,Senthil Nathan,1,Ashok ,3,0,0,0,0,0,0,0,10,0,1,1,5.3,0,34,30,0.985507246,notout,1
31,1,ACCENTURE ,ROYAL ENFIELD,5,4,1,Senthil Nathan,1,Ashok ,3,0,0,0,0,0,0,1,11,0,2,1,5.4,1,35,31,1.014492754,notout,1
32,1,ACCENTURE ,ROYAL ENFIELD,5,5,1,Senthil Nathan,1,Ajay Narayanan ,2,0,0,0,0,0,0,0,15,0,1,1,5.5,0,35,32,1.014492754,notout,1
33,1,ACCENTURE ,ROYAL ENFIELD,5,6,1,Senthil Nathan,1,Ajay Narayanan ,2,0,0,0,0,0,1,0,16,0,1,1,5.6,1,36,33,1.043478261,notout,1
34,1,ACCENTURE ,ROYAL ENFIELD,6,1,1,Navaneetha Krishnan,3,Ajay Narayanan ,2,0,0,0,0,0,0,0,17,0,1,1,6.1,0,36,34,1.043478261,notout,1
35,1,ACCENTURE ,ROYAL ENFIELD,6,2,1,Navaneetha Krishnan,3,Ajay Narayanan ,2,0,0,0,0,0,0,3,18,0,3,1,6.2,3,39,35,1.130434783,notout,1
36,1,ACCENTURE ,ROYAL ENFIELD,6,3,1,Navaneetha Krishnan,3,Ashok ,3,0,0,0,0,0,0,1,12,0,2,1,6.3,1,40,36,1.15942029,notout,1
37,1,ACCENTURE ,ROYAL ENFIELD,6,4,1,Navaneetha Krishnan,3,Ajay Narayanan ,2,0,0,0,0,0,0,0,19,0,1,1,6.4,0,40,37,1.15942029,notout,1
