tot_ball,inning,batting_team,bowling_team,over_num,ball_num,stage,bowler,bowler_num,batsman,batsman_num,howout,wide_runs,noball,noball_bat_runs,LegByes_runs,Byes_runs,Bat_runs,Balls_faced,boundary,scoring_id,wickets,Overs,run,runs,ball_counts,runrate_ball,HOWOUTS,EXTRA
192,2,ROYAL ENFIELD,ACCENTURE ,1,1,1,Kishore Kumar,1,Murugan ,1,0,0,0,0,0,0,0,1,0,1,0,1.1,0,0,1,0,notout,1
193,2,ROYAL ENFIELD,ACCENTURE ,1,2,1,Kishore Kumar,1,Murugan ,1,0,0,0,0,0,0,1,2,0,2,0,1.2,1,1,2,0.028985507,notout,1
194,2,ROYAL ENFIELD,ACCENTURE ,1,3,1,Kishore Kumar,1,Dilli Babu ,2,0,0,0,0,0,0,0,1,0,1,0,1.3,0,1,3,0.028985507,notout,1
195,2,ROYAL ENFIELD,ACCENTURE ,1,4,1,Kishore Kumar,1,Dilli Babu ,2,0,0,0,0,0,0,4,2,4,4,0,1.4,4,5,4,0.144927536,notout,1
196,2,ROYAL ENFIELD,ACCENTURE ,1,5,1,Kishore Kumar,1,Dilli Babu ,2,0,0,0,0,0,0,0,3,0,1,0,1.5,0,5,5,0.144927536,notout,1
197,2,ROYAL ENFIELD,ACCENTURE ,1,6,1,Kishore Kumar,1,Dilli Babu ,2,0,0,0,0,0,0,1,4,0,2,0,1.6,1,6,6,0.173913043,notout,1
198,2,ROYAL ENFIELD,ACCENTURE ,2,1,1,Parthiban,2,Dilli Babu ,2,0,0,0,0,0,0,1,5,0,2,0,2.1,1,7,7,0.202898551,notout,1
199,2,ROYAL ENFIELD,ACCENTURE ,2,2,1,Parthiban,2,Murugan ,1,0,0,0,0,0,0,0,3,0,1,0,2.2,0,7,8,0.202898551,notout,1
200,2,ROYAL ENFIELD,ACCENTURE ,2,3,1,Parthiban,2,Murugan ,1,0,0,0,0,0,0,4,4,4,4,0,2.3,4,11,9,0.31884058,notout,1
201,2,ROYAL ENFIELD,ACCENTURE ,2,4,1,Parthiban,2,Murugan ,1,0,0,0,0,0,0,0,5,0,1,0,2.4,0,11,10,0.31884058,notout,1
202,2,ROYAL ENFIELD,ACCENTURE ,2,5,1,Parthiban,2,Murugan ,1,0,0,0,0,0,0,4,6,4,4,0,2.5,4,15,11,0.434782609,notout,1
203,2,ROYAL ENFIELD,ACCENTURE ,2,6,1,Parthiban,2,Murugan ,1,0,0,0,0,0,0,0,7,0,1,0,2.6,0,15,12,0.434782609,notout,1
204,2,ROYAL ENFIELD,ACCENTURE ,3,1,1,Kishore Kumar,1,Dilli Babu ,2,0,0,0,0,0,0,0,6,0,1,0,3.1,0,15,13,0.434782609,notout,1
205,2,ROYAL ENFIELD,ACCENTURE ,3,2,1,Kishore Kumar,1,Dilli Babu ,2,0,0,0,0,0,0,1,7,0,2,0,3.2,1,16,14,0.463768116,notout,1
206,2,ROYAL ENFIELD,ACCENTURE ,3,3,1,Kishore Kumar,1,Murugan ,1,0,0,0,0,0,0,1,8,0,2,0,3.3,1,17,15,0.492753623,notout,1
207,2,ROYAL ENFIELD,ACCENTURE ,3,4,1,Kishore Kumar,1,Dilli Babu ,2,0,0,0,0,0,0,0,8,0,1,0,3.4,0,17,16,0.492753623,notout,1
208,2,ROYAL ENFIELD,ACCENTURE ,3,5,1,Kishore Kumar,1,Dilli Babu ,2,0,0,0,0,0,0,0,9,0,1,0,3.5,0,17,17,0.492753623,notout,1
